analysis,Li7_mean,Na23_mean,Al27_mean,K39_mean,Ca43_mean,Ti48_mean,V50_mean,V51_mean,Cr52_mean,Mn55_mean,Fe57_mean,Co59_mean,Ni62_mean,Cu65_mean,Zn66_mean,Rb85_mean,Sr88_mean,Y89_mean,Zr91_mean,Nb93_mean,Ag107_mean,Sn118_mean,Cs133_mean,Ba137_mean,La139_mean,Ce140_mean,Pr141_mean,Nd146_mean,Sm147_mean,Eu153_mean,Gd157_mean,Tb159_mean,Dy163_mean,Ho165_mean,Er166_mean,Tm169_mean,Yb172_mean,Lu175_mean,Hf178_mean,Ta181_mean,W182_mean,W184_mean,Pb208_mean,Th232_mean,U238_mean
albite 1,0.289725163,89824.36859,113551.2213,803.1425249,1656.14639,0.617689544,<LOD,<LOD,1.784850968,0.810154009,16.67513088,<LOD,<LOD,<LOD,<LOD,0.299039437,202.6106887,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.450588627,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.011718924,7.318894012,<LOD,<LOD
albite 2,<LOD,89969.05255,114688.6259,725.3513089,901.7409712,0.444874854,<LOD,<LOD,<LOD,<LOD,19.62442407,0.009435799,<LOD,<LOD,<LOD,<LOD,71.54093815,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.33096219,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,3.530503141,<LOD,<LOD
albite 3,3.724564049,90907.89436,115839.943,385.7356676,3487.2423,1.446065779,<LOD,<LOD,<LOD,<LOD,23.62484822,<LOD,0.641023254,<LOD,4.392138689,<LOD,262.3866658,0.005357049,<LOD,<LOD,<LOD,<LOD,<LOD,0.712572485,0.036620299,0.054165239,<LOD,0.034607893,<LOD,0.017869742,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.012602275,0.011458192,<LOD,7.517810862,0.058320654,0.003785296
albite 4,32.62463122,81227.37663,138520.039,1046.155777,25018.13397,10.64827923,<LOD,<LOD,1.515078891,8.491489418,38.3220492,<LOD,<LOD,<LOD,2.778382572,0.718213696,1979.200056,<LOD,<LOD,<LOD,<LOD,0.183703913,<LOD,17.14060548,0.100755369,0.075922098,0.007759974,0.035598149,<LOD,0.108626666,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,60.31744996,<LOD,<LOD
albite 5,6.346241001,83262.87994,136021.99,581.5377754,25653.2548,11.08565273,<LOD,<LOD,<LOD,4.440291166,37.91255635,0.033685478,<LOD,<LOD,3.261651829,0.529386351,2156.461333,0.003247165,<LOD,<LOD,<LOD,<LOD,<LOD,15.2267511,0.031825671,0.045591316,<LOD,<LOD,<LOD,0.136108639,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.006052672,<LOD,<LOD,39.12628392,<LOD,<LOD
biotite 1,6340.745878,646.5963839,102864.5918,84377.80994,131.9357704,957.3272223,3935.411982,60.11962271,70.23251559,5919.48482,122500.0539,62.79794483,451.2144642,0.594002319,1539.49573,9344.322065,8.45609254,0.009383836,0.08881418,266.5413262,<LOD,402.4200811,1132.083183,351.1189655,0.072247296,0.061123447,0.009073893,0.033340736,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.06248749,472.3379486,3.263596328,3.162173249,8.766674389,0.026842409,0.035559942
biotite 2,6656.512215,840.9943152,107612.3966,84141.88029,180.7488066,864.5050213,3272.740228,62.03720259,67.524392,6026.251788,119293.1563,65.25586966,426.3625852,0.524655345,1894.157748,9420.887095,8.831192251,0.017638542,0.22038026,271.1645337,<LOD,478.0885993,987.1573077,303.4482588,0.06493376,0.089227881,0.004394533,0.030253645,<LOD,0.008924309,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.072695568,712.1577166,3.471419708,3.286851146,9.017321363,0.028525535,0.120991053
biotite 3,6557.186071,1009.458077,105658.7402,83685.92954,227.1184454,863.2829064,3288.388768,63.21992897,78.39389239,5974.737897,116610.8035,65.91615989,409.5607113,0.523329473,1993.242156,9145.641666,8.047386427,0.018554528,0.151759449,265.0418949,<LOD,457.5331342,927.673512,226.1801118,0.07445059,0.077612712,0.005365636,0.036156862,<LOD,0.006700521,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.08281458,710.3958469,3.123978194,3.271282551,8.187915794,0.027798354,0.020425679
biotite 4,6554.236743,719.2704859,105999.5582,84118.93161,201.7604349,880.8228966,3386.771031,62.02616597,149.2624924,5937.386331,117444.8069,66.36088371,420.327004,0.363383823,1764.070994,9154.248849,7.697358255,0.007511943,0.067197404,266.7419264,<LOD,480.2391666,824.6735047,252.832851,0.011847656,0.021122926,<LOD,<LOD,<LOD,0.006908411,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.065252596,745.5870143,3.514563873,3.575834292,7.812101115,0.025579647,0.016919219
biotite 5,6402.397093,847.3268778,106692.3162,83903.35842,122.2523866,879.7318462,3384.783712,61.39024559,107.490034,6089.115644,119077.2618,65.14614348,424.8799179,0.260873644,1838.158952,9518.682492,7.727045304,0.002093049,0.186109143,280.9573303,<LOD,470.1088303,969.7388617,271.2234505,0.007969327,0.016038504,<LOD,<LOD,<LOD,0.010498499,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.091366391,773.8386101,3.719912109,3.625356654,7.917213229,0.021738169,0.029247552
