analysis,spot_size_um,Li7_mean,Na23_mean,Al27_mean,K39_mean,Ca43_mean,Ti48_mean,V50_mean,V51_mean,Cr52_mean,Mn55_mean,Fe57_mean,Co59_mean,Ni62_mean,Cu65_mean,Zn66_mean,Rb85_mean,Sr88_mean,Y89_mean,Zr91_mean,Nb93_mean,Ag107_mean,Sn118_mean,Cs133_mean,Ba137_mean,La139_mean,Ce140_mean,Pr141_mean,Nd146_mean,Sm147_mean,Eu153_mean,Gd157_mean,Tb159_mean,Dy163_mean,Ho165_mean,Er166_mean,Tm169_mean,Yb172_mean,Lu175_mean,Hf178_mean,Ta181_mean,W182_mean,W184_mean,Pb208_mean,Th232_mean,U238_mean
muscovite 1,50,355.9692107,4253.956737,208115.4973,103986.5566,<LOD,15.67112056,65.06884314,<LOD,<LOD,819.8108116,6874.552531,0.098068489,<LOD,<LOD,561.5239229,7051.41295,0.466091037,<LOD,0.336181603,119.1745362,<LOD,755.6066714,210.4413019,1.756119483,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.183810521,95.82491572,2.466980934,2.594084591,13.23846655,<LOD,0.058682225
muscovite 2,50,346.0788028,4264.23002,206450.2176,105993.9424,271.5037974,11.42238715,49.92801299,<LOD,<LOD,758.7003917,6864.511974,0.110533059,<LOD,<LOD,556.4641904,6031.168125,0.436207057,0.003290458,0.262113411,134.8125985,<LOD,604.9867204,139.6257534,1.543256828,0.006312546,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.085722297,53.70642696,2.03538422,2.036092559,9.354299689,<LOD,0.106065284
muscovite 3,50,348.5915895,4132.887709,209266.7556,104419.8322,205.1774076,7.429739034,28.6233193,<LOD,<LOD,635.6583769,5897.419114,0.092550099,<LOD,0.273799927,436.1824134,5301.367563,0.426629727,<LOD,0.295649289,138.24995,0.01709327,447.6499928,102.8126633,0.540934837,<LOD,0.003591621,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.069941622,34.30533916,1.394685306,1.42907083,10.95503801,<LOD,0.084260047
muscovite 4,50,340.1141877,4737.441636,205612.4914,101887.7006,243.001376,10.69099042,49.65533641,<LOD,0.990579862,583.3379265,5547.040457,0.063926054,<LOD,0.293547326,484.6431087,4913.150665,0.388076199,<LOD,0.149892105,152.7654823,<LOD,525.3258582,84.95157107,1.103668607,<LOD,0.004438901,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.049993077,15.85103613,0.953149635,0.890975511,7.345209836,<LOD,0.061974553
muscovite 5,50,379.0326172,4404.352448,207899.996,106024.4401,625.3654155,12.02294054,50.81518795,<LOD,<LOD,619.7929658,5656.302661,0.085119742,<LOD,<LOD,414.3734444,4884.314999,3.7214401,0.046553788,0.153107884,140.6771079,<LOD,503.1469843,91.23770567,1.977537574,0.02659718,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.035572733,15.65035883,1.607356753,1.818659192,10.04068951,<LOD,1.631495685
muscovite 6,50,341.0217113,4571.79519,210313.4304,105159.6977,229.979728,12.23193868,50.70084662,<LOD,<LOD,655.8935292,6078.260691,0.088299178,0.120979288,<LOD,536.7232451,5169.334478,0.438594083,<LOD,0.259184288,160.0141494,<LOD,564.6630731,97.23376119,1.389048457,<LOD,0.003407425,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.052976067,14.68487965,1.269961244,1.339827481,7.442346557,<LOD,0.085860376
muscovite 7,50,368.6903349,4678.149847,212616.909,107728.337,182.6912331,13.65557047,60.81224047,<LOD,<LOD,659.6800192,6104.06075,0.09527044,<LOD,<LOD,485.3195767,5090.936436,0.460582793,<LOD,0.244604152,155.7577866,0.009075529,601.7925758,96.61353807,1.426941688,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.08631644,15.67312,1.365761936,1.344899534,8.942290789,<LOD,0.06184335
muscovite 8,50,379.1006093,5032.39772,212338.0925,101162.1709,186.4074364,11.47150204,48.53646996,<LOD,<LOD,670.8290653,6038.855718,0.092199758,<LOD,0.204484383,568.176624,4992.206433,0.325659924,<LOD,0.316907439,152.8555651,<LOD,621.4273252,92.7732076,1.249812006,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.035236191,14.47371886,1.246168378,1.247198377,7.64436612,<LOD,0.038522807
muscovite 9,50,347.2179443,4948.746195,203803.0976,100791.184,<LOD,11.93035605,50.47809831,<LOD,<LOD,691.8991587,6227.936133,0.093303488,0.544671514,<LOD,510.5557875,5171.884706,0.281381022,<LOD,0.252897561,165.3035386,<LOD,639.5510858,99.58225287,1.113671549,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.05330424,15.42126188,1.543858631,1.456633723,7.631716431,<LOD,0.061552563
muscovite 10,50,355.6699691,4988.682398,212563.2397,103583.8628,170.935748,12.18926851,52.75062518,<LOD,<LOD,699.7284417,6260.743558,0.081467416,<LOD,<LOD,546.4709181,5108.406041,0.31880034,<LOD,0.250947399,166.4420799,0.021571998,632.0542613,99.8356448,1.249521965,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.070936517,15.61273424,1.449022632,1.47027086,7.711129077,<LOD,0.032877878
muscovite 11,50,348.7892476,4916.469185,205490.1528,101080.4558,154.5110402,11.72926464,49.68720958,<LOD,<LOD,702.0132014,6108.330344,0.083444513,<LOD,0.206304526,577.3802826,4995.01243,0.306765019,<LOD,0.201844979,159.8078169,<LOD,681.9730431,97.76120522,1.190875635,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.059892479,17.75258891,1.519861008,1.444706125,7.543066904,<LOD,0.026499062
muscovite 12,50,362.1855302,5064.319406,211520.945,100540.1025,235.5802325,11.98153219,46.18230436,<LOD,<LOD,682.8126258,6063.226801,0.073424912,<LOD,0.171283355,517.0552658,5137.108462,0.29952115,<LOD,0.162009263,154.2409407,<LOD,661.8700249,96.56925965,1.150380953,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.071257835,17.7897062,1.315333601,1.396054786,8.200622193,<LOD,0.030313354
muscovite 13,50,382.6406672,4907.17167,208364.1193,104587.0876,294.7274665,10.8576653,40.63845422,<LOD,<LOD,740.9579497,5827.446306,0.096265861,0.524763322,0.389816952,636.2714511,4960.949158,0.522158171,0.003357779,0.256252723,135.4044203,<LOD,523.3712186,92.96276291,2.375548076,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.058729722,11.63332688,1.165132021,1.142865774,7.462278656,<LOD,0.183227788
muscovite 14,50,515.9858884,4132.132789,207176.4317,105982.494,293.0645419,33.43305916,156.1665854,0.368594663,1.547666418,656.2062197,6772.622639,0.414181159,0.32528848,0.696719559,311.7267157,5122.227046,5.967912969,0.003595043,0.896319688,87.20580986,<LOD,657.7502554,224.3740767,5.289692507,<LOD,0.005251314,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.051557904,43.99143166,2.583909735,2.548016472,18.17672526,<LOD,0.59057295
muscovite 15,50,529.702501,4386.529514,210698.7304,110541.2865,343.3454802,16.8729772,74.49930758,0.402822447,2.559330011,543.0387403,6253.889845,0.152671629,<LOD,<LOD,196.8836622,4025.015877,7.776420637,<LOD,0.116885426,87.63589532,<LOD,442.8275103,88.22379738,5.691358468,<LOD,0.00870173,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.111515291,45.15855945,3.715523355,3.47083829,19.90611827,<LOD,0.022834175
muscovite 16,50,647.0330633,4543.405236,209341.4303,107191.9391,297.697837,26.84130909,124.5907788,0.489612031,1.784466495,637.7622666,7686.074791,0.451673356,<LOD,1.047228656,368.6059157,4119.812902,7.128502569,0.009188396,1.006541003,82.7098997,<LOD,411.8305489,80.92937569,4.81247751,0.009809091,0.007276461,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.085001385,45.07858096,2.852553334,2.71262954,21.90133777,<LOD,0.943727135
muscovite 17,50,401.3853319,3029.580087,208022.1237,109474.4586,<LOD,47.13194579,207.4631836,0.529176451,2.758485166,694.2973762,4928.106237,0.280818396,<LOD,0.292652207,180.5614965,4846.506573,4.920070845,<LOD,0.051255373,52.55600368,<LOD,302.0440479,97.64042697,6.072752173,<LOD,0.009732881,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,<LOD,0.02883965,7.441254046,2.721305493,2.447547735,8.742798969,0.006791703,0.239886013
